"","Country/Region","Date","R","ci_95_u","ci_95_l","ci_65_u","ci_65_l","days_infectious","last_updated"
"160","Georgia",2020-09-06,1.75496182210519,2.12633341988678,1.39393629303737,1.92752063408808,1.58345908066489,7,2021-02-25
"161","Georgia",2020-09-07,1.81968987905952,2.19603668135753,1.46306095031692,1.99432480617955,1.64450362825199,7,2021-02-25
"162","Georgia",2020-09-08,1.90197128507494,2.29057260927999,1.53712154475577,2.07918660298462,1.72540134692718,7,2021-02-25
"163","Georgia",2020-09-09,1.97690696668616,2.37652597569974,1.60082671903997,2.16163213937411,1.79141704260655,7,2021-02-25
"164","Georgia",2020-09-10,2.07815807683081,2.50794068957668,1.67233336933276,2.27715750052239,1.87606854627678,7,2021-02-25
"165","Georgia",2020-09-11,2.19049938577575,2.67983971801284,1.73097799379962,2.41971971048079,1.95908497896188,7,2021-02-25
"166","Georgia",2020-09-12,2.26861695092277,2.8267143617505,1.76290253824371,2.52707171307134,2.00674575806736,7,2021-02-25
"167","Georgia",2020-09-13,2.20898947712899,2.72180392494328,1.73772274079185,2.44518423312148,1.97193878387529,7,2021-02-25
"168","Georgia",2020-09-14,2.11972860476766,2.57116168802318,1.69725186933733,2.33032615550246,1.90451265264771,7,2021-02-25
"169","Georgia",2020-09-15,2.01870776265416,2.43193555422908,1.63563297474065,2.21236420598962,1.82371526752414,7,2021-02-25
"170","Georgia",2020-09-16,1.91970620326698,2.31192356068837,1.55919473699733,2.09905089763565,1.73887064831959,7,2021-02-25
"171","Georgia",2020-09-17,1.81245617070658,2.18233392662731,1.45052320969276,1.98394062689056,1.64098839813014,7,2021-02-25
"172","Georgia",2020-09-18,1.72393377050149,2.08838752398767,1.34894793463409,1.8944156817872,1.55490934452155,7,2021-02-25
"173","Georgia",2020-09-19,1.65324686371065,2.01247717322682,1.26855387583443,1.82658160503327,1.48102758608893,7,2021-02-25
"174","Georgia",2020-09-20,1.59942229725667,1.95677924398603,1.21037379446966,1.77281227841989,1.42669306273355,7,2021-02-25
"175","Georgia",2020-09-21,1.55781429790772,1.91798493094323,1.16835024936979,1.73463736932856,1.38218133396879,7,2021-02-25
"176","Georgia",2020-09-22,1.53286259704791,1.88704130089938,1.14469409672683,1.70898816411177,1.35833307943375,7,2021-02-25
"177","Georgia",2020-09-23,1.51536138203805,1.87578988866376,1.13047036445676,1.68958330665346,1.34295654748524,7,2021-02-25
"178","Georgia",2020-09-24,1.504564234374,1.86536213478636,1.12148713130944,1.67521732758872,1.33115192150354,7,2021-02-25
"179","Georgia",2020-09-25,1.49144849748596,1.85499342976017,1.11211348373838,1.66289417783862,1.31907705789592,7,2021-02-25
"180","Georgia",2020-09-26,1.48243412622792,1.83686849531374,1.10091494930989,1.65314510652976,1.31377489944828,7,2021-02-25
"181","Georgia",2020-09-27,1.47170847968043,1.82756752725066,1.09677003472858,1.64312583057487,1.30090198370265,7,2021-02-25
"182","Georgia",2020-09-28,1.46341545041284,1.81843918192084,1.09086408372912,1.63355916752018,1.29265423508181,7,2021-02-25
"183","Georgia",2020-09-29,1.46419865457716,1.82374543180872,1.09262442235693,1.63504260198655,1.29206995895046,7,2021-02-25
"184","Georgia",2020-09-30,1.47405255598165,1.83608216854975,1.10690116092808,1.64331683057521,1.30378051369421,7,2021-02-25
"185","Georgia",2020-10-01,1.4974231629185,1.86173428670706,1.137510384263,1.66555243991904,1.32971410970243,7,2021-02-25
"186","Georgia",2020-10-02,1.49565064689974,1.86153227032906,1.13897444744433,1.66293082746935,1.32551371026882,7,2021-02-25
"187","Georgia",2020-10-03,1.48610100543455,1.86041045073106,1.12833080450847,1.65167410906947,1.31821925033497,7,2021-02-25
"188","Georgia",2020-10-04,1.47287555224067,1.84879815684048,1.1130889173003,1.6406869211233,1.30564760596153,7,2021-02-25
"189","Georgia",2020-10-05,1.44324930637419,1.81382176768747,1.08045139980927,1.61030333082497,1.27438354952237,7,2021-02-25
"190","Georgia",2020-10-06,1.40034580354129,1.75836452185037,1.03510665791133,1.56679639162806,1.23382543947794,7,2021-02-25
"191","Georgia",2020-10-07,1.35837527529086,1.70514943318448,0.985590147086203,1.52680637976705,1.19097161838931,7,2021-02-25
"192","Georgia",2020-10-08,1.32779194450256,1.67767966789875,0.946796315337894,1.49790580460254,1.15739244353777,7,2021-02-25
"193","Georgia",2020-10-09,1.314639176408,1.66845634381976,0.92907878602466,1.48711383845359,1.14359248523312,7,2021-02-25
"194","Georgia",2020-10-10,1.3067743146519,1.66146781991499,0.917203430460764,1.47993947241996,1.13543071606422,7,2021-02-25
"195","Georgia",2020-10-11,1.31071715049626,1.66474987761783,0.919093819057263,1.48280670664428,1.13863200154565,7,2021-02-25
"196","Georgia",2020-10-12,1.32534659355115,1.6814681887289,0.929099951230358,1.4979050420289,1.1540619361562,7,2021-02-25
"197","Georgia",2020-10-13,1.36606869545644,1.7179744998766,0.986023704670485,1.53553045500506,1.19796376498499,7,2021-02-25
"198","Georgia",2020-10-14,1.41760825484362,1.77569660572203,1.05373019236549,1.58549499848696,1.24811450012254,7,2021-02-25
"199","Georgia",2020-10-15,1.47254045487139,1.84561813234893,1.11867148963002,1.64144916727204,1.30220017904851,7,2021-02-25
"200","Georgia",2020-10-16,1.49732084140834,1.87211912590643,1.14330176808218,1.66733801048416,1.32655062988323,7,2021-02-25
"201","Georgia",2020-10-17,1.51801764691234,1.89983996294458,1.16243865598156,1.68922974400022,1.34642282800197,7,2021-02-25
"202","Georgia",2020-10-18,1.53862476083999,1.92548364103375,1.18680119702872,1.71248004126592,1.36435638010817,7,2021-02-25
"203","Georgia",2020-10-19,1.53578978562503,1.91162647929974,1.17975185479846,1.70867198309986,1.36291012385064,7,2021-02-25
"204","Georgia",2020-10-20,1.53290780901529,1.9100568534766,1.17520066481694,1.70445987467668,1.36193319525337,7,2021-02-25
"205","Georgia",2020-10-21,1.53519164171335,1.91596959990741,1.17994620308451,1.70816688796915,1.36388903785695,7,2021-02-25
"206","Georgia",2020-10-22,1.53747045885367,1.92200419365867,1.17907749849415,1.70979740071586,1.36346566759794,7,2021-02-25
"207","Georgia",2020-10-23,1.52541823449187,1.9139320989187,1.16291690382504,1.69947235507306,1.35016822250266,7,2021-02-25
"208","Georgia",2020-10-24,1.49870703874593,1.88734502449615,1.13769397838314,1.6726032316738,1.32243903923199,7,2021-02-25
"209","Georgia",2020-10-25,1.45507160282926,1.83753935920955,1.09337012396845,1.62576786865096,1.28318306558329,7,2021-02-25
"210","Georgia",2020-10-26,1.4043724490559,1.77668165879726,1.03934683275218,1.57524452149603,1.23484701748359,7,2021-02-25
"211","Georgia",2020-10-27,1.35341294160174,1.71418294043055,0.985897037980019,1.52162104140608,1.1829520286979,7,2021-02-25
"212","Georgia",2020-10-28,1.30872909975676,1.66356519058691,0.93332033453263,1.47748690377011,1.14049430106331,7,2021-02-25
"213","Georgia",2020-10-29,1.27590291259874,1.63507736624218,0.90169681317228,1.44719268403004,1.10406680034522,7,2021-02-25
"214","Georgia",2020-10-30,1.25234144337715,1.60965154981423,0.869879610393992,1.4243255122232,1.08244295183945,7,2021-02-25
"215","Georgia",2020-10-31,1.2410741175027,1.60197547213769,0.858642806680858,1.41425305281617,1.06858080175543,7,2021-02-25
"216","Georgia",2020-11-01,1.2423375075114,1.59778064730869,0.866261086099939,1.41251890077387,1.07165674551648,7,2021-02-25
"217","Georgia",2020-11-02,1.25013248285287,1.60741931459166,0.874355496327898,1.41920949155819,1.08083758275705,7,2021-02-25
"218","Georgia",2020-11-03,1.26558268847319,1.62131109166509,0.898388723609065,1.43406039034446,1.09822267311046,7,2021-02-25
